	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
COX4I2|84701	314.8302	165.3439	176.2673	143.2022	411.8081	276.1115	561.7874	243.5065	348.2535	315.0896	299.2439	481.0924	251.5679	404.9645	267.9707	184.9744	424.4495	399.1745	75.2236	69.9774	22.1085	23.9823	38.3292	164.0567	204.0658	45.719	50.4323	75.1846	16.3211	39.6093	20.3985	85.4885	101.3238	48.3221	30.5452	102.7919
COX6B2|125965	1.657	9.3945	0.384	1.7048	0.0	0.0	0.0	0.0	0.4745	0.8884	1.5626	0.0	0.0	3.5461	0.652	1.1383	0.7593	1.7689	8.4166	1.8059	1.0918	5.6129	0.9828	14.1685	4.1435	0.4156	3.8425	2.4614	0.8822	4.8833	18.0266	7.1839	8.6558	4.0268	9.2964	0.6345
CPA3|1359	2195.5261	967.6374	1455.8372	2261.6849	1748.3395	488.3195	2163.02	2055.1948	2108.4995	1609.5036	987.5829	3946.7787	1485.7143	914.8936	3364.3032	2351.1668	1267.2741	1711.6745	1082.0621	633.86	388.9458	486.7906	590.6634	121.5511	211.8348	95.1787	4724.7839	671.0674	229.378	395.5507	776.5655	533.046	1274.4399	1712.7517	103.5881	820.4315
CPB2|1361	913.836	262.4208	150.5376	686.4611	1154.9815	1529.465	600.3082	1578.7338	731.1426	365.4328	778.1904	2421.5686	1574.9129	2529.078	2208.965	1702.9027	1584.6621	861.4387	34.1925	19.8646	0.0	6.6334	85.9951	299.0306	135.1806	252.7016	106.1479	0.6713	0.4411	22.2463	0.0	21.5517	141.0387	0.6711	34.5294	192.8934
CPEB1|64506	22.3695	106.4714	6.9124	25.0036	66.4207	34.9661	32.9738	21.9156	25.6208	23.9871	10.1571	12.605	9.7561	8.5106	17.6039	14.2288	5.3151	20.6368	13.151	20.7675	3.0024	5.1026	1.4742	1.4914	3.6255	1.2469	20.6532	8.503	2.6467	3.2556	15.6546	1.4368	8.1466	14.094	6.6403	5.0761
CPNE4|131034	3.314	15.6576	3.0722	9.0922	5.1661	13.263	2.4653	1.6234	4.7446	12.7339	6.2505	1.4006	1.7422	1.4184	1.956	19.9203	6.8337	2.3585	41.031	132.7314	1.6377	1.0205	41.769	119.3139	35.9964	99.335	2.4015	422.9134	52.4923	29.3001	154.649	42.3851	66.1914	8.0537	79.6831	5.7107
CPNE5|57699	159.9006	149.6863	42.6267	40.9149	13.2841	85.6066	65.0231	43.8312	93.4686	96.2445	33.5966	80.5322	109.4077	15.6028	35.8598	882.1855	44.0395	64.8585	288.2693	204.0632	78.608	83.6831	77.6413	35.0485	138.5472	34.9127	376.0807	461.8483	120.8646	227.8893	40.797	38.0747	215.8859	1181.2081	544.5014	410.533
CPXM1|56265	144.1591	467.2217	98.6943	7.3874	71.5867	115.1469	47.4576	53.5714	151.3527	35.8326	46.0976	36.4146	261.6725	10.6383	21.5159	123.506	11.3895	91.3915	724.3556	507.4492	794.2682	233.7003	513.0221	178.9709	85.2001	48.2128	147.4544	535.019	118.2179	289.745	654.1746	71.8391	493.3809	242.2819	790.191	75.5076
CP|1356	621.4333	2970.7407	409.4355	2312.158	1548.2731	3737.9171	384.9492	210.6818	353.0218	758.4627	456.0852	227.493	444.9826	696.1418	352.8867	405.7427	147.4412	305.7901	13220.0368	3811.3273	10237.4671	119.3606	599.0713	15489.7166	1266.2489	336.2053	6417.6609	3307.0329	983.8421	45576.9669	15558.2116	595.2011	21704.7505	2553.7248	26361.8344	586.618
CR2|1380	345.4847	222.3374	21.8894	5.6826	1.476	19.2916	11.4022	2.4351	4.2701	469.0807	4.6879	2.8011	32.0557	3.5461	3.912	6916.3347	4.5558	1.1792	609.1531	1173.8149	58.1372	3.5718	112.0393	94.7054	376.7966	27.847	417.3871	112.3294	3.5289	85.1872	6.167	63.9368	515.7841	2864.4295	294.8276	211.9289
CRIP2|1397	3942.005	5297.893	3334.1014	2402.0457	4696.679	3565.3353	5424.3451	4614.4481	4838.0669	5277.4543	1684.5165	4313.7255	5406.6202	2091.4894	2137.8973	2779.7382	4704.6317	3563.6792	1453.4456	634.3115	2747.4582	975.6222	1050.1229	841.909	5538.0034	7903.1588	1243.0355	2869.5458	207.3225	763.4292	1858.6338	5774.4253	1535.6415	2768.4564	952.2134	1125.6345
CRISP2|7180	9.1135	21.2943	2.3041	40.3466	228.7823	120.5727	24.037	6.4935	4.2701	38.4978	30.4713	0.0	6.9686	4.9645	4.564	14.798	0.7593	5.3066	0.0	2.2573	0.5459	0.0	2.9484	5.22	1.5538	1.2469	5.2834	3.3565	10.1456	17.363	2.8463	0.0	9.6741	0.6711	1.3281	0.0
CRLF2|64109	1.657	3.1315	4.9923	3.9778	0.0	0.0	1.849	0.0	0.4745	0.5923	0.0	1.4006	0.0	0.0	1.956	2.2766	0.7593	0.0	6.3125	0.9029	16.3767	0.0	27.5184	14.1685	1.8128	0.0	6.244	1.5663	0.4411	1.6278	17.0778	0.0	4.0733	2.6846	1.3281	0.6345
CRYGN|155051	0.8285	0.6263	0.384	1.1365	0.738	0.0	0.6163	0.0	1.4234	0.8884	0.0	2.1008	2.0906	0.0	0.0	1.7075	0.0	0.0	1.0521	2.2573	2.7294	1.0205	0.4914	0.0	0.0	1.2469	9.1258	14.7684	5.2933	1.0852	27.9886	0.0	5.0916	6.7114	2.6561	0.6345
CSF3|1440	14.913	2.5052	1453.533	21595.6812	34.6863	147.0987	87.5193	141.2338	64.5265	319.8278	198.4542	221.2885	291.9861	900.0	23.4719	51.2237	88.079	8951.0613	0.0	3.1603	1030.0921	0.5103	5.8968	44.7427	73.8055	0.8313	17.7714	204.7438	5.7345	40.1519	1.4231	10.0575	20.8758	4.0268	30.5452	73.6041
CSMD1|64478	83.6785	156.5756	16.129	81.8298	63.4686	62.095	30.8166	18.6688	3.3212	28.7253	17.1889	6.3025	7.3171	18.4397	10.4319	17.6437	2.2779	25.3538	27.8801	18.5102	1.3647	0.0	3.9312	273.6764	2.3307	0.8313	7.2046	18.5724	0.0	2.713	5.2182	2.1552	2.0367	4.0268	2.6561	67.2589
CSMD2|114784	8.285	5.0104	10.7527	46.5975	3.69	12.0573	6.1633	5.6818	10.9126	18.6566	3.1253	5.6022	25.4355	3.5461	9.128	5.6915	3.7965	11.7925	112.5723	150.7901	100.1706	138.7914	39.8034	21.6257	6.4742	3.7406	21.1335	99.1273	19.85	49.376	279.8861	5.0287	50.9165	11.4094	71.7148	14.5939
CST1|1469	0.8285	46.9727	1.9201	0.5683	0.0	3.0143	0.9245	0.0	379.0934	3.8498	0.0	7.7031	3.1359	1.4184	5.868	4.5532	0.7593	0.0	217.7801	89.842	128.5568	47.9647	278.1327	96.1969	394.4063	19.9501	1789.6254	290.2215	0.0	45.0353	3850.5693	10.7759	31.5682	1785.2349	15.9366	6.3452
CST5|1473	27.3405	22.5469	25.7296	2.2731	16.2362	21.7031	112.7889	9.7403	90.6218	19.8412	65.6305	28.0112	73.5192	46.0993	28.0359	44.3939	8.3523	29.4811	1.0521	0.9029	0.2729	0.5103	0.9828	2.2371	129.4834	2.0781	42.2671	4.9228	0.0	0.5426	2.8463	51.7241	12.22	67.1141	1.3281	6.3452
CST6|1474	304.0597	532.9834	157.8341	212.5302	654.6125	368.3497	560.2465	405.8442	469.7152	386.7547	228.9255	352.2409	524.7387	232.6241	209.943	350.0285	362.1868	123.2311	362.4408	52.8217	265.8478	784.2737	1386.7322	29.8285	94.2639	194.9293	125.8405	2412.844	19.4089	88.4428	92.9791	21.5517	136.4562	146.9799	86.3234	29.1878
